id,birth_year,last_name,category,gender,weight,height,pro_agility_l,pro_agility_r,broad_jump,vertical_jump,dash_10yd,shuttle_100yd,shuttle_150yd,shuttle_300yd,flexed_arm_hang,pull_ups,ue_watt,le_watt,demo_edu,demo_income,demo_fin_support,demo_sports_access,demo_years_org_sport,demo_race_asian,demo_race_black,demo_race_hispanic,demo_race_native,demo_race_pacific,demo_race_white,mtq1,mtq2,mtq3,mtq4,mtq5,mtq6,mtq7,mtq8,mtq9,mtq10,grt1,grt2,grt3,grt4,grt5,grt6,grt7,grt8,res1,res2,res3,res4,res5,res6,res7,res8,res9,res10,se1,se2,se3,se4,se5,se6,sms1,sms2,sms3,sms4,sms5,sms6,sms7,sms8,sms9,sms10,sms11,sms12,sms13,sms14,sms15,sms16,sms17,sms18,twc1,twc2,twc3,twc4,twc5,hst_age_first_league,hst_age_regular_hky,hst_age_supervised,hst_age_main_sport,hst_practice_hrs_band,hst_game_hrs_band,hst_hky_8plus_months,hst_multi_sport_level,hst_effort,hst_focus,hst_enjoyment,hst_camps_freq,hst_relocated,hst_injury_count_12_16,hst_days_missed_2y,hst_comp_level,hst_age_first_at_level,cog_refocus_speed,cog_stay_locked_in,sleep_hrs_band,nut_balanced_meals,nut_hydration_freq,nut_post_snack_freq,nut_knowledge_conf,nut_limiting_factors,nut_energy_mornings,cog_game_recognition,cog_puck_decision_conf,cog_decision_effectiveness,cog_pregame_anxiety,cop_breathing,cop_self_talk,cop_visualization,cop_talk_teammate_coach,cop_other,coach_comfort_asking,coach_understands_you,target_pro_success,weight_abs_impr,weight_rel_impr_pct,weight_impr_per_year,height_abs_impr,height_rel_impr_pct,height_impr_per_year,pro_agility_l_abs_impr,pro_agility_l_rel_impr_pct,pro_agility_l_impr_per_year,pro_agility_r_abs_impr,pro_agility_r_rel_impr_pct,pro_agility_r_impr_per_year,broad_jump_abs_impr,broad_jump_rel_impr_pct,broad_jump_impr_per_year,vertical_jump_abs_impr,vertical_jump_rel_impr_pct,vertical_jump_impr_per_year,dash_10yd_abs_impr,dash_10yd_rel_impr_pct,dash_10yd_impr_per_year,shuttle_100yd_abs_impr,shuttle_100yd_rel_impr_pct,shuttle_100yd_impr_per_year,shuttle_150yd_abs_impr,shuttle_150yd_rel_impr_pct,shuttle_150yd_impr_per_year,shuttle_300yd_abs_impr,shuttle_300yd_rel_impr_pct,shuttle_300yd_impr_per_year,flexed_arm_hang_abs_impr,flexed_arm_hang_rel_impr_pct,flexed_arm_hang_impr_per_year,pull_ups_abs_impr,pull_ups_rel_impr_pct,pull_ups_impr_per_year,ue_watt_abs_impr,ue_watt_rel_impr_pct,ue_watt_impr_per_year,le_watt_abs_impr,le_watt_rel_impr_pct,le_watt_impr_per_year,cat_progression,num_tests,time_span_years,ever_promoted_between_tests
Athlete_11,2006,Last11,Squirt Major,0,137.8,170.2,4.69,4.89,68.4,22.2,1.66,25.33,33.26,61.9,44,10,788,517,1,2,0,5,5,1,0,0,0,0,1,5,4,3,3,3,5,3,2,2,1,4,3,2,3,1,1,1,3,1,1,3,5,4,2,1,3,1,4,2,2,1,5,3,3,6,4,1,1,4,1,2,7,5,1,4,1,7,2,2,5,6,5,4,4,3,2,2,4,9,10,11,3,1,1,2,1,1,4,1,1,2,103,3,17,3,4,2,0,3,2,3,0,4,4,5,3,4,1,0,0,1,1,5,5,0,-1.6,-1.2,-0.32,-2.6,-1.5,-0.52,0.24,5.2,0.048,0.05,1,0.01,-17,-24.9,-3.41,4.9,22,0.98,-0.197,-11.9,-0.039,-1.33,-5.2,-0.266,-1.52,-4.6,-0.304,-1.96,-3.2,-0.392,2.3,5.2,0.45,-1,-10.5,-0.2,193.3,24.5,38.66,-17.2,-3.3,-3.44,4,3,5,1
Athlete_12,2010,Last12,Under 16 Boys,1,168.8,170.2,5.61,5.28,91.1,23.9,1.71,24.52,36.35,62.72,33.7,6,571,772,2,3,2,4,1,0,0,0,0,0,0,2,1,1,2,4,2,5,3,3,1,4,3,5,1,2,4,2,4,2,3,1,5,1,4,5,1,4,5,1,1,4,4,1,3,7,7,1,5,6,2,3,3,2,2,2,3,4,7,7,2,5,3,5,4,5,2,4,4,12,9,10,3,3,0,2,5,2,1,2,0,9,66,1,13,5,1,2,1,4,2,3,0,2,1,3,2,3,0,0,0,1,1,2,5,1,-5.1,-3,-1.69,1.3,0.8,0.45,0.22,3.8,0.072,0.09,1.6,0.028,3.2,3.6,1.08,-3,-12.4,-0.99,-0.122,-7.2,-0.041,-0.29,-1.2,-0.097,0.65,1.8,0.217,1.04,1.7,0.347,0.1,0.4,0.05,0,0.7,0.01,171,30,57,86.9,11.3,28.96,3,1,3,1
Athlete_13,2011,Last13,Peewee Major,1,166.3,178.5,4.99,5.58,89.8,28.7,1.89,23.51,37.68,69.75,36.1,14,633,1147,4,2,1,1,4,0,0,1,0,0,1,4,3,4,3,4,3,5,2,2,2,1,2,1,5,1,4,4,5,2,4,5,5,4,4,5,5,4,3,4,4,1,1,3,4,6,1,3,7,2,5,1,6,7,2,1,2,4,7,3,2,6,6,2,4,2,1,2,7,6,8,11,4,3,0,0,5,4,1,3,1,8,188,5,16,3,3,4,0,4,5,2,0,4,4,2,3,3,1,0,1,1,0,3,1,0,1.7,1,0.55,3.5,1.9,1.16,-0.31,-6.3,-0.105,-0.45,-8,-0.149,1.4,1.6,0.47,-0.5,-1.7,-0.17,-0.333,-17.6,-0.111,-0.62,-2.6,-0.205,-1.02,-2.7,-0.34,-4.83,-6.9,-1.611,-0.8,-2.3,-0.28,3.3,23.6,1.09,-19.7,-3.1,-6.58,58.9,5.1,19.62,3,3,3,1
Athlete_14,2004,Last14,Under 15 Boys,0,135.6,164.3,5.36,5.28,94.7,14.6,1.88,25.33,32.09,63.06,8.6,6,716,1193,5,3,2,3,3,1,0,0,0,0,0,3,5,2,5,3,3,3,3,4,3,4,1,4,1,5,2,4,1,1,2,2,4,5,3,1,5,5,2,5,4,1,3,3,2,7,5,4,6,4,6,1,2,5,4,2,1,7,4,5,7,6,1,5,2,3,4,3,4,7,8,12,1,4,1,2,3,2,4,2,1,2,25,3,17,4,5,1,1,1,5,3,1,4,2,2,2,4,1,1,1,1,0,4,5,1,15.4,11.4,3.08,4.1,2.5,0.82,0.27,5,0.053,0.04,0.8,0.009,-2.1,-2.3,-0.43,3.2,22.2,0.65,0.027,1.4,0.005,-1.19,-4.7,-0.239,0.3,0.9,0.061,-2.27,-3.6,-0.454,-30,-349,-6.01,-2.9,-48,-0.57,-86.2,-12,-17.24,-188.9,-15.8,-37.77,-1,4,5,1
Athlete_15,2007,Last15,Squirt Major,1,127.3,183.5,5.37,5.26,101.4,22.8,1.84,25.33,29.4,56.75,24.7,10,474,675,2,1,1,4,4,0,0,0,0,0,1,5,2,3,1,3,3,3,5,1,1,5,5,5,1,5,5,5,4,4,1,4,5,1,5,4,1,3,5,2,5,4,4,5,2,6,6,2,6,7,2,2,1,3,1,6,3,2,3,7,7,7,4,1,1,3,4,3,5,6,12,11,5,3,1,0,5,2,2,3,0,2,48,2,10,1,2,3,0,1,4,5,1,1,2,2,4,2,0,0,0,0,1,3,4,0,-22.2,-17.4,-7.39,1.8,1,0.59,0.37,6.9,0.124,0.08,1.5,0.026,5.4,5.3,1.79,-3.9,-17,-1.29,-0.005,-0.2,-0.002,-0.04,-0.2,-0.014,-2.87,-9.8,-0.956,-0.57,-1,-0.19,14.4,58,4.79,-0.9,-8.9,-0.29,-51.8,-10.9,-17.27,-216.9,-32.1,-72.31,3,1,3,0
Athlete_16,2010,Last16,Squirt Minor,0,157.1,175.5,4.88,5.19,68.7,19.1,1.99,24.7,29.18,60.79,42.4,5,650,594,4,5,1,3,4,1,1,0,0,0,1,1,2,2,4,1,2,4,1,2,1,2,4,4,5,5,5,4,5,2,3,2,5,1,5,2,3,1,2,5,3,4,1,2,3,7,2,3,4,2,7,3,2,4,6,2,5,3,6,4,4,1,6,4,5,3,2,5,5,9,12,9,1,1,1,1,5,3,2,1,0,6,89,3,18,1,1,1,1,5,5,1,0,5,4,1,3,3,0,0,0,0,1,2,5,0,14.8,9.4,4.94,3.2,1.8,1.06,0.22,4.6,0.075,0.47,9.2,0.158,5.6,8.1,1.86,-1.1,-5.5,-0.35,0.203,10.2,0.068,0.92,3.7,0.305,-0.6,-2.1,-0.201,-2.25,-3.7,-0.75,6.2,14.6,2.06,0.1,2.5,0.05,54.5,8.4,18.17,-75.5,-12.7,-25.17,3,3,3,1
Athlete_17,2005,Last17,Under 19 Girls,0,147.5,171.8,4.96,5.52,92.7,18.8,1.75,22.68,26.67,47.55,17.3,7,555,896,3,4,2,1,3,0,0,0,0,0,1,5,2,1,1,4,2,3,5,1,1,1,3,5,1,1,5,2,5,5,3,3,4,3,4,3,5,2,1,3,1,4,5,1,5,6,4,2,7,6,1,1,3,3,5,6,6,6,7,5,7,1,3,5,5,5,1,3,4,6,12,16,2,5,0,2,1,5,4,1,1,2,186,4,12,5,2,4,1,5,3,2,1,2,2,3,3,1,1,1,0,0,0,5,3,1,1.7,1.2,0.34,-3.2,-1.9,-0.64,0.79,15.8,0.157,-0.26,-4.7,-0.052,24.2,26.1,4.84,0.1,0.7,0.03,0.359,20.5,0.072,0.71,3.1,0.142,-0.1,-0.4,-0.02,-3.02,-6.4,-0.605,1.1,6.2,0.21,1.5,20.9,0.3,-36.6,-6.6,-7.31,305.2,34.1,61.05,3,2,5,0
Athlete_18,2010,Last18,Under 16 Girls,0,175.7,170.5,4.37,4.44,93.7,25.5,1.74,21.7,32.72,60.89,23.7,7,279,517,5,3,0,1,5,0,0,0,0,1,0,3,3,1,1,4,4,5,3,2,5,4,3,2,1,4,4,4,4,5,1,5,1,5,1,4,5,2,3,4,3,5,2,3,5,3,2,7,2,3,6,2,6,1,5,2,1,7,4,7,1,3,2,5,1,5,2,1,7,11,10,10,4,2,0,1,1,3,4,2,0,9,126,4,16,4,3,5,0,3,1,5,0,1,1,2,2,2,0,1,1,0,1,1,3,1,-9.6,-5.5,-2.41,-1.1,-0.6,-0.26,-0.41,-9.3,-0.102,-0.21,-4.8,-0.053,2.1,2.3,0.53,0.1,0.3,0.02,0.097,5.6,0.024,-0.36,-1.6,-0.089,0.18,0.5,0.045,1.85,3,0.463,8.1,34.2,2.03,5.9,84.5,1.48,81.9,29.4,20.49,-125.7,-24.3,-31.43,-1,2,4,1
Athlete_19,2004,Last19,Under 18 Boys,0,216.4,176.2,4.83,5.32,80,23.9,1.74,22.9,37.65,42.43,15.6,5,369,709,3,2,1,4,3,0,0,0,0,0,1,5,1,1,4,3,2,2,5,3,5,3,5,4,4,3,3,2,1,4,4,3,2,4,2,5,2,5,3,1,1,2,2,2,3,5,5,7,7,2,2,6,3,3,7,2,3,3,2,5,6,1,6,3,4,1,1,1,6,7,13,14,5,3,0,2,2,4,2,3,0,5,125,4,15,1,4,1,0,3,3,3,0,5,4,5,4,4,1,1,1,0,1,1,1,0,5.5,2.5,5.51,4.3,2.4,4.32,-0.33,-6.7,-0.325,-0.27,-5.2,-0.275,-7.3,-9.1,-7.29,3.6,15.1,3.6,-0.166,-9.5,-0.166,-0.11,-0.5,-0.105,-2.19,-5.8,-2.186,-1.84,-4.3,-1.837,-6.9,-44.1,-6.9,2,37.6,2,31.7,8.6,31.73,-74.6,-10.5,-74.6,-1,2,1,1
Athlete_20,2007,Last20,Under 15 Boys,1,171.1,182.2,4.48,4.8,82.9,14.8,2.07,22.32,25.67,58.5,50.2,9,418,517,2,5,2,4,1,0,1,1,0,0,0,1,3,5,3,2,2,2,4,3,4,1,1,4,2,4,4,3,3,4,4,4,4,5,2,5,5,4,5,1,5,2,5,2,5,1,4,2,7,7,2,2,3,3,5,7,3,3,4,1,3,1,5,2,2,5,5,4,6,11,10,13,4,2,1,1,2,5,3,2,1,2,4,4,14,1,4,2,0,2,2,4,1,2,1,4,3,4,0,1,1,0,0,1,2,1,-0.7,-0.4,-0.34,-1.4,-0.8,-0.71,-0.08,-1.8,-0.041,-0.2,-4.1,-0.098,-5,-6.1,-2.51,1.8,12.3,0.91,0.039,1.9,0.019,-1.12,-5,-0.56,-0.37,-1.4,-0.184,-2.45,-4.2,-1.226,-2.9,-5.9,-1.47,2.1,22.9,1.03,-120.5,-28.8,-60.27,119.6,23.1,59.81,0,4,2,0
Athlete_21,2010,Last21,Under 18 Boys,1,149.1,181.3,5.37,4.68,44,18.4,1.5,24.56,25.67,59.6,23.4,13,654,821,3,4,0,4,2,0,0,0,0,0,0,2,5,2,5,4,1,2,5,2,2,5,1,3,4,4,2,1,3,4,1,1,4,1,1,5,2,3,3,3,2,1,5,2,1,7,7,4,5,5,5,7,7,1,1,3,5,3,7,2,2,4,7,3,3,4,2,2,7,8,12,13,1,1,1,2,4,3,3,1,0,9,62,1,15,1,1,4,0,3,1,4,0,1,1,3,3,5,0,1,1,0,0,5,5,0,11,7.4,3.67,-0.5,-0.3,-0.18,-0.29,-5.5,-0.098,0.19,4.1,0.064,6.9,15.7,2.3,-1.6,-8.7,-0.53,0.05,3.3,0.017,-0.33,-1.3,-0.109,1.37,5.3,0.456,-1.83,-3.1,-0.611,6.6,28,2.18,-3.5,-26.4,-1.17,-112,-17.1,-37.32,59.4,7.2,19.79,-1,3,3,0
Athlete_22,2006,Last22,Peewee Minor,1,145.7,174.5,5.22,5.18,73.1,21,1.84,24.46,37.83,42.27,19.2,16,514,801,4,1,1,5,5,0,0,0,0,0,1,5,1,1,3,2,4,4,5,1,2,1,5,3,4,4,5,2,1,1,2,3,4,1,5,4,5,5,5,2,4,4,1,5,1,6,5,5,1,4,7,7,5,4,3,1,1,2,4,6,7,6,5,5,5,2,3,1,5,8,14,15,4,2,1,2,3,5,2,1,0,9,17,2,14,3,2,2,1,3,5,4,0,5,4,2,2,4,1,1,0,1,1,3,4,0,-9.1,-6.3,-9.14,-4.8,-2.8,-4.83,0.01,0.3,0.013,-0.24,-4.6,-0.239,18.8,25.7,18.8,-9,-43,-9.01,-0.015,-0.8,-0.015,0.57,2.3,0.567,-0.13,-0.3,-0.13,-2,-4.7,-2.001,-32.2,-167.2,-32.16,4.9,31.5,4.89,88,17.1,87.97,193.7,24.2,193.75,4,2,1,1
Athlete_23,2006,Last23,Peewee Major,1,128.6,180.5,5.57,5.02,101.5,12.8,1.86,23.72,25.82,70.76,39.4,14,642,1208,4,3,2,4,1,0,0,0,0,0,1,5,2,2,4,5,4,4,2,2,3,2,2,1,5,4,3,4,5,4,4,4,1,2,4,2,3,2,2,3,1,3,5,3,3,7,1,6,4,5,7,7,6,1,5,7,1,6,5,3,1,2,1,5,4,5,5,2,6,9,11,12,3,3,0,1,2,5,4,2,1,10,57,1,14,5,4,4,1,1,5,3,0,4,5,1,4,3,0,0,0,1,1,3,4,0,8.6,6.7,2.86,-0.4,-0.2,-0.13,0.15,2.8,0.051,0.37,7.4,0.123,5.8,5.7,1.94,3.3,25.4,1.09,-0.209,-11.2,-0.07,0.67,2.8,0.222,1.32,5.1,0.441,2.28,3.2,0.76,-11.6,-29.4,-3.87,-5.1,-36.8,-1.69,88.5,13.8,29.52,-107.5,-8.9,-35.84,0,3,3,1
