id,birth_year,ct,gender,category,weight,height,pro_agility_l,pro_agility_r,broad_jump,vertical_jump,dash_10yd,shuttle_100yd,shuttle_150yd,shuttle_300yd,flexed_arm_hang,pull_ups,ue_watt,le_watt,age,demo_edu,demo_income,demo_fin_support,demo_sports_access,demo_years_org_sport,demo_race_asian,demo_race_black,demo_race_hispanic,demo_race_native,demo_race_pacific,demo_race_white,mtq1,mtq2,mtq3,mtq4,mtq5,mtq6,mtq7,mtq8,mtq9,mtq10,grt1,grt2,grt3,grt4,grt5,grt6,grt7,grt8,res1,res2,res3,res4,res5,res6,res7,res8,res9,res10,se1,se2,se3,se4,se5,se6,sms1,sms2,sms3,sms4,sms5,sms6,sms7,sms8,sms9,sms10,sms11,sms12,sms13,sms14,sms15,sms16,sms17,sms18,twc1,twc2,twc3,twc4,twc5,hst_age_first_league,hst_age_regular_hky,hst_age_supervised,hst_age_main_sport,hst_practice_hrs_band,hst_game_hrs_band,hst_hky_8plus_months,hst_multi_sport_level,hst_effort,hst_focus,hst_enjoyment,hst_camps_freq,hst_relocated,cog_refocus_speed,cog_stay_locked_in,sleep_hrs_band,nut_balanced_meals,nut_hydration_freq,nut_post_snack_freq,nut_knowledge_conf,nut_limiting_factors,nut_energy_mornings,cog_game_recognition,cog_puck_decision_conf,cog_decision_effectiveness,cog_pregame_anxiety,coach_comfort_asking,coach_understands_you,weight_abs_impr,weight_rel_impr_pct,weight_impr_per_year,height_abs_impr,height_rel_impr_pct,height_impr_per_year,pro_agility_l_abs_impr,pro_agility_l_rel_impr_pct,pro_agility_l_impr_per_year,pro_agility_r_abs_impr,pro_agility_r_rel_impr_pct,pro_agility_r_impr_per_year,broad_jump_abs_impr,broad_jump_rel_impr_pct,broad_jump_impr_per_year,vertical_jump_abs_impr,vertical_jump_rel_impr_pct,vertical_jump_impr_per_year,dash_10yd_abs_impr,dash_10yd_rel_impr_pct,dash_10yd_impr_per_year,shuttle_100yd_abs_impr,shuttle_100yd_rel_impr_pct,shuttle_100yd_impr_per_year,shuttle_150yd_abs_impr,shuttle_150yd_rel_impr_pct,shuttle_150yd_impr_per_year,shuttle_300yd_abs_impr,shuttle_300yd_rel_impr_pct,shuttle_300yd_impr_per_year,flexed_arm_hang_abs_impr,flexed_arm_hang_rel_impr_pct,flexed_arm_hang_impr_per_year,pull_ups_abs_impr,pull_ups_rel_impr_pct,pull_ups_impr_per_year,ue_watt_abs_impr,ue_watt_rel_impr_pct,ue_watt_impr_per_year,le_watt_abs_impr,le_watt_rel_impr_pct,le_watt_impr_per_year,category_progression,num_tests,ever_promoted_between_tests,target_pro_success
Athlete 35,2003,Under 18 Boys,1,7,179.2,72.25,4.29,4.22,105,27,1.69,,,60,,7,415,864,22,3,5,1,5,5,0,0,0,0,0,1,5,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,4,4,4,5,4,5,5,5,5,4,5,4,5,5,5,5,5,6,2,6,4,2,6,3,2,6,1,5,6,1,4,2,5,6,6,5,5,5,5,5,7,7,16,10,5,0,0,0,4,4,4,3,1,4,5,3,1,4,4,4,0,4,4,5,5,3,4,4,12.6,7.56%,12.6,2.75,3.96%,2.75,0.22,5.13%,0.22,0.27,6.40%,0.27,4,3.96%,4,1.5,5.88%,1.5,0.06,3.55%,0.06,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,5,71.43%,5,79,19.04%,79,160,22.73%,160,1,3,1,1
Athlete 107,2004,Under 15 Boys,1,5,,72.75,4.24,4.23,100,27.5,1.71,,,61,,10,,,21,2,4,2,4,5,0,0,0,0,0,1,5,4,4,3,5,3,5,5,5,5,4,5,2,5,2,2,4,5,5,5,5,4,4,5,5,5,4,5,5,4,5,5,2,5,7,7,7,4,1,4,3,3,7,1,5,7,4,4,5,5,6,5,5,3,3,3,3,3,3,3,5,1,0,0,0,5,5,5,3,1,4,5,2,1,5,5,3,0,3,4,0,3,4,5,3,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,1,0,1
Athlete 112,2004,Under 16 Boys,1,6,140,65.5,4.18,4.3,94,25.5,1.65,,34,,17,,,,21,3,3,0,1,5,0,0,0,0,0,1,2,4,2,2,5,5,5,4,5,1,4,2,4,5,2,4,2,3,5,3,4,3,4,4,5,4,5,5,5,5,5,5,5,5,2,1,5,3,6,5,6,6,4,6,6,6,2,6,5,4,4,5,4,4,5,5,5,6,6,6,6,1,0,0,0,1,1,4,3,1,5,5,3,1,3,3,5,0,5,5,5,5,5,5,5,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,1,0,0
Athlete 124,2004,Under 15 Boys,1,5,,70.5,4.44,4.41,97,26,1.74,,31.67,,24,,,,21,3,1,0,3,5,0,0,1,0,0,1,5,5,4,3,5,3,4,3,4,4,1,4,3,5,2,2,2,4,5,5,5,3,4,5,5,3,5,4,5,5,5,5,5,5,7,4,5,7,2,7,4,5,6,3,7,6,2,7,3,2,7,7,2,2,2,5,3,8,10,12,11,5,0,0,0,4,4,5,3,1,3,3,3,1,4,4,3,1,4,3,0,5,5,3,3,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,1,0,1
Athlete 125,2004,Under 19 Girls,0,7,136.6,64,4.97,4.95,82,19,1.85,,,62.33,,2,,,21,1,4,0,5,5,0,0,0,0,0,1,5,5,5,1,5,3,2,5,4,5,4,5,2,5,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,1,7,4,4,7,1,7,7,1,7,3,7,7,7,5,5,5,5,5,5,11,14,11,5,5,0,0,5,5,5,3,1,3,0,3,1,5,4,5,0,3,4,5,4,4,5,5,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,1,0,1
Athlete 491,2009,Under 14 Girls,0,4,117.2,64,4.8,4.77,87,24,1.83,,,,37,,,,21,4,5,2,5,5,0,0,0,0,0,1,5,4,3,4,3,4,3,5,4,3,3,3,4,4,2,2,4,5,5,4,4,4,3,5,5,3,4,5,4,4,3,4,5,4,5,7,6,5,6,7,6,7,5,5,7,5,5,4,3,4,4,6,3,2,3,5,3,5,5,5,8,5,5,1,0,4,4,4,3,1,3,5,0,1,5,4,4,1,4,5,0,4,5,1,1,0,0.00%,0,0.25,0.39%,0.13,0.34,7.62%,0.17,0.22,4.84%,0.11,2,2.30%,1,0.5,2.08%,0.25,0.03,1.64%,0.02,0,0.00%,0,0,0.00%,0,0,0.00%,0,16,76.19%,8,0,0.00%,0,0,0.00%,0,0,0.00%,0,2,2,1,1
Athlete 491,2009,Under 16 Girls,0,6,,64.25,4.46,4.55,89,24.5,1.86,,31.33,,21,,,,21,4,5,2,5,5,0,0,0,0,0,1,5,4,3,4,3,4,3,5,4,3,3,3,4,4,2,2,4,5,5,4,4,4,3,5,5,3,4,5,4,4,3,4,5,4,5,7,6,5,6,7,6,7,5,5,7,5,5,4,3,4,4,6,3,2,3,5,3,5,5,5,8,5,5,1,0,4,4,4,3,1,3,5,0,1,5,4,4,1,4,5,0,4,5,1,1,0,0.00%,0,0.25,0.39%,0.13,0.34,7.62%,0.17,0.22,4.84%,0.11,2,2.30%,1,0.5,2.08%,0.25,0.03,1.64%,0.02,0,0.00%,0,0,0.00%,0,0,0.00%,0,16,76.19%,8,0,0.00%,0,0,0.00%,0,0,0.00%,0,2,2,1,1
Athlete 83,2004,Under 16 Boys,1,6,161.9,69,,,105,29,,,,64.33,,2,,,21,4,1,2,5,5,0,0,0,0,0,1,5,5,5,3,5,5,3,4,3,3,3,4,3,5,2,2,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,5,4,5,4,1,7,7,1,7,3,1,7,1,7,7,1,7,4,7,7,7,5,5,5,5,5,6,6,12,14,5,0,1,0,5,5,3,3,1,3,5,2,1,5,5,4,0,4,4,2,3,2,3,1,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,1,0,1
Athlete 84,2004,Under 15 Boys,1,5,,69,4.21,4.2,107,30,1.65,,31,,9,,,,21,4,5,2,5,5,0,0,0,0,0,1,5,4,3,4,3,4,3,5,4,3,3,3,4,4,2,2,4,5,5,4,4,4,3,5,5,3,4,5,4,4,3,4,5,4,5,7,6,5,6,7,6,7,5,5,7,5,5,4,3,4,4,6,3,2,3,5,3,5,5,5,8,5,5,1,0,4,4,4,3,1,3,5,0,1,5,4,4,1,4,5,0,4,5,1,1,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,1,0,1
Athlete 89,2004,Under 19 Girls,0,7,170.7,71.75,4.35,4.53,93,23.5,1.9,,32.67,,35,,,,21,5,5,0,4,5,0,0,0,0,0,1,5,3,5,5,5,4,5,4,5,5,2,5,2,5,3,1,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,5,3,5,5,1,6,6,5,7,4,4,6,1,7,7,1,6,4,7,7,5,3,3,2,4,3,5,8,5,15,5,5,1,0,4,4,5,3,1,4,0,2,1,4,5,5,0,4,5,4,4,2,3,1,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,1,0,1
Athlete 100,2004,Under 15 Boys,1,5,,69,4.16,4.08,100,30,1.62,,30,,32,,,,21,5,5,0,5,5,0,0,0,0,0,1,5,4,4,4,4,4,4,5,4,4,2,2,2,5,3,3,4,5,4,4,4,4,4,5,5,3,3,5,5,5,4,4,5,5,6,2,5,6,5,6,5,5,5,3,6,6,3,5,2,5,5,6,5,5,3,4,4,6,4,5,6,5,0,1,1,5,4,5,3,1,4,0,3,1,5,4,4,1,4,5,0,4,3,4,3,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,1,0,1
Athlete 102,2004,Under 15 Boys,1,5,,68,4.18,4.32,100,26.5,1.65,21.67,,,9,,,,21,4,5,0,5,5,0,0,0,0,0,1,5,5,3,3,5,4,4,3,4,4,2,2,3,5,1,1,5,5,3,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,7,7,7,1,7,5,1,7,5,7,2,5,1,4,6,4,3,5,5,5,5,5,4,3,10,4,1,0,0,0,5,4,2,3,1,3,5,0,1,5,5,5,0,3,5,4,4,4,5,2,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,1,0,1
Athlete 87,2004,Under 15 Boys,1,5,,73,4.43,4.34,103,29.5,1.62,,28.67,,40,,,,21,4,5,0,5,5,0,0,0,0,0,1,5,3,2,4,4,5,5,5,5,5,3,1,3,5,2,2,4,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,6,4,4,3,3,6,1,1,3,1,3,3,2,3,2,2,1,4,3,3,5,3,3,5,3,5,15,5,5,1,0,4,3,3,3,1,3,5,3,1,4,2,5,0,3,5,5,4,2,1,1,10.2,5.45%,5.1,1.25,1.71%,0.63,0.3,7.26%,0.15,0.2,4.83%,0.1,3,2.91%,1.5,3,10.17%,1.5,0.1,6.17%,0.05,0,0.00%,0,1.33,4.64%,0.66,0,0.00%,0,7,17.50%,3.5,0,0.00%,0,0,0.00%,0,0,0.00%,0,2,3,1,1
Athlete 87,2004,Under 16 Boys,1,6,187,74.25,4.21,4.18,106,32.5,1.66,,30,,47,,,,21,4,5,0,5,5,0,0,0,0,0,1,5,3,2,4,4,5,5,5,5,5,3,1,3,5,2,2,4,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,6,4,4,3,3,6,1,1,3,1,3,3,2,3,2,2,1,4,3,3,5,3,3,5,3,5,15,5,5,1,0,4,3,3,3,1,3,5,3,1,4,2,5,0,3,5,5,4,2,1,1,10.2,5.45%,5.1,1.25,1.71%,0.63,0.3,7.26%,0.15,0.2,4.83%,0.1,3,2.91%,1.5,3,10.17%,1.5,0.1,6.17%,0.05,0,0.00%,0,1.33,4.64%,0.66,0,0.00%,0,7,17.50%,3.5,0,0.00%,0,0,0.00%,0,0,0.00%,0,2,3,1,1
Athlete 87,2004,Under 18 Boys,1,7,197.2,74.25,4.13,4.14,106,32.5,1.72,,,,,,,,21,4,5,0,5,5,0,0,0,0,0,1,5,3,2,4,4,5,5,5,5,5,3,1,3,5,2,2,4,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,6,4,4,3,3,6,1,1,3,1,3,3,2,3,2,2,1,4,3,3,5,3,3,5,3,5,15,5,5,1,0,4,3,3,3,1,3,5,3,1,4,2,5,0,3,5,5,4,2,1,1,10.2,5.45%,5.1,1.25,1.71%,0.63,0.3,7.26%,0.15,0.2,4.83%,0.1,3,2.91%,1.5,3,10.17%,1.5,0.1,6.17%,0.05,0,0.00%,0,1.33,4.64%,0.66,0,0.00%,0,7,17.50%,3.5,0,0.00%,0,0,0.00%,0,0,0.00%,0,2,3,1,1
Athlete 167,2005,Under 16 Boys,1,6,177,74,4.33,4.45,97,29,1.74,,,,74,,,,20,4,5,0,4,5,0,0,0,0,0,0,4,4,5,5,4,3,4,4,5,5,3,4,1,5,4,2,5,2,3,4,4,4,4,4,2,2,5,2,5,5,4,5,5,4,5,7,3,5,7,7,3,7,6,7,6,6,7,4,7,1,1,1,4,4,2,5,5,4,5,3,15,0,0,1,0,5,4,2,2,1,4,0,3,1,4,4,3,0,4,4,5,4,2,4,3,2.1,1.20%,2.1,0.25,0.34%,0.25,0,0.00%,0,0.09,2.02%,0.09,5,5.15%,5,3,11.54%,3,0.01,0.57%,0.01,0,0.00%,0,0,0.00%,0,0,0.00%,0,36,94.74%,36,0,0.00%,0,0,0.00%,0,0,0.00%,0,1,2,1,0
Athlete 167,2005,Under 18 Boys,1,7,174.9,74.25,4.33,4.54,102,26,1.75,,,68.33,38,,,,20,4,5,0,4,5,0,0,0,0,0,0,4,4,5,5,4,3,4,4,5,5,3,4,1,5,4,2,5,2,3,4,4,4,4,4,2,2,5,2,5,5,4,5,5,4,5,7,3,5,7,7,3,7,6,7,6,6,7,4,7,1,1,1,4,4,2,5,5,4,5,3,15,0,0,1,0,5,4,2,2,1,4,0,3,1,4,4,3,0,4,4,5,4,2,4,3,2.1,1.20%,2.1,0.25,0.34%,0.25,0,0.00%,0,0.09,2.02%,0.09,5,5.15%,5,3,11.54%,3,0.01,0.57%,0.01,0,0.00%,0,0,0.00%,0,0,0.00%,0,36,94.74%,36,0,0.00%,0,0,0.00%,0,0,0.00%,0,1,2,1,0
Athlete 202,2005,Bantam Major,2,6,,68.25,4.58,4.37,94,24.5,1.71,,29.67,,30,,,,20,4,5,0,5,5,0,0,0,0,0,1,4,3,3,4,4,2,5,4,4,4,5,3,3,4,1,4,5,5,3,4,4,4,3,5,4,4,4,4,4,5,4,5,5,5,5,7,4,4,6,5,5,5,4,3,6,5,5,5,5,4,5,4,4,4,5,5,5,8,12,10,12,0,0,1,0,4,4,5,3,1,4,5,3,1,5,3,3,1,4,4,4,4,3,3,3,0,0.00%,0,1.25,1.83%,1.25,0.1,2.23%,0.1,0.06,1.37%,0.06,1,1.06%,1,0.5,2.08%,0.5,0.01,0.59%,0.01,0,0.00%,0,0.37,1.25%,0.37,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,1,2,1,1
